name,code,id,category
California Maritime Academy,CSUMA,1,0
Evergreen Valley College,EVERGRN,2,2
Los Angeles City College,LACC,3,2
College of Marin,MARIN,4,2
College of San Mateo,MATEO,5,2
College of the Sequoias,SEQUOIAS,6,2
"University of California, San Diego",UCSD,7,1
Butte College,BUTTE,8,2
Cerro Coso Community College,CERRO,9,2
Columbia College,COLUMBIA,10,2
"California Polytechnic University, San Luis Obispo",CPSLO,11,0
"California State University, Monterey Bay",CSUMB,12,0
Merritt College,MERRITT,13,2
Rancho Santiago College,RSC,14,2
Cuesta College,CUESTA,16,2
Merced College,MERCED,17,2
Las Positas College,POSITAS,18,2
Victor Valley College,VVCC,19,2
Barstow Community College,BARSTOW,20,2
"California State University, Hayward",CSUHAY,21,0
"California State University, San Marcos",CSUSM,23,0
"California State University, Stanislaus",CSUSTAN,24,0
Los Angeles Trade Technical College,LATT,25,2
San Diego State University,SDSU,26,0
American River College,ARC,27,2
Contra Costa College,CONTRA,28,2
"California State University, Fresno",CSUFRES,29,0
College of the Desert,DESERT,30,2
Los Angeles Harbor College,LAHC,31,2
Mission College,MISSION,32,2
City College of San Francisco,SFCITY,33,2
Compton Community College,COMPTON,34,2
Fresno City College,FRESNO,35,2
Kings River College,KRC,36,2
Shasta College,SHASTA,38,2
San Jose State University,SJSU,39,0
Lake Tahoe Community College,TAHOE,40,2
Cabrillo College,CABRILLO,41,2
"California State University, Northridge",CSUN,42,0
Glendale Community College,GLENDALE,43,2
Los Angeles Valley College,LAVC,44,2
San Diego Miramar College,MIRAMAR,45,2
"University of California, Riverside",UCR,46,1
Los Angeles Mission College,LAMC,47,2
Ohlone College,OHLONE,48,2
Pasadena City College,PASADENA,49,2
"California State University, Dominguez Hills",CSUDH,50,0
Foothill College,FOOTHILL,51,2
Modesto Junior College,MODESTO,52,2
Mt. San Jacinto College,MTSJC,53,2
San Diego City College,SDCC,54,2
Golden West College,GWC,55,2
Palomar College,PALOMAR,56,2
Santa Rosa Junior College,SRC,57,2
Vista Community College,VISTA,58,2
"California State University, Sacramento",CSUS,60,0
Los Medanos College,MEDANOS,61,2
Mount San Antonio College,MTSAC,62,2
Palo Verde College,PALOVRDE,63,2
Rio Hondo College,RIOHONDO,64,2
Saddleback College,SADDLBK,65,2
Santiago Canyon College,SANTIAGO,66,2
West Hills College Coalinga,WHC,67,2
Canada College,CANADA,68,2
Chaffey College,CHAFFEY,69,2
Crafton Hills College,CRAFTON,70,2
Cypress College,CYPRESS,71,2
Gavilan College,GAVILAN,72,2
Napa Valley College,NAPA,73,2
Orange Coast College,OCC,74,2
"California Polytechnic University, Pomona",CPP,75,0
"California State University, Los Angeles",CSULA,76,0
Laney College,LANEY,77,2
Riverside City College,RCC,78,2
"University of California, Berkeley",UCB,79,1
West Valley College,WVC,80,2
"California State University, Long Beach",CSULB,81,0
Lassen Community College,LASSEN,82,2
College of the Redwoods,REDWOODS,83,2
Bakersfield College,BAKERFLD,84,2
"California State University, San Bernardino",CSUSB,85,0
Los Angeles Pierce College,LAPC,86,2
Oxnard College,OXNARD,87,2
Sonoma State University,SSU,88,0
"University of California, Davis",UCD,89,1
Yuba College,YUBA,90,2
West Los Angeles College,LAWC,91,2
Santa Barbara City College,SBCC,92,2
Sierra College,SIERRA,93,2
Solano Community College,SOLANO,94,2
Ventura College,VENTURA,95,2
Chabot College,CHABOT,96,2
Citrus College,CITRUS,97,2
"California State University, Bakersfield",CSUB,98,0
Cuyamaca College,CUYAMACA,99,2
Mendocino College,MENDOCIN,100,2
San Diego Mesa College,MESA,101,2
College of the Siskiyous,SISKIYOU,102,2
El Camino College,CAMINO,103,2
Cerritos College,CERRITOS,104,2
Coastline Community College,COASTLIN,105,2
Grossmont College,GMCC,106,2
Imperial Valley College,IMPERIAL,107,2
MiraCosta College,MIRACSTA,108,2
San Joaquin Delta College,SJDELTA,109,2
Allan Hancock College,AHC,110,2
College of Alameda,ALAMEDA,111,2
Copper Mountain College,COPPER,112,2
De Anza College,DAC,113,2
Diablo Valley College,DIABLO,114,2
Humboldt State University,HSU,115,0
San Francisco State University,SFSU,116,0
"University of California, Los Angeles",UCLA,117,1
East Los Angeles College,LAEC,118,2
Taft College,TAFT,119,2
"University of California, Irvine",UCI,120,1
Antelope Valley College,AVC,121,2
Feather River College,FEATHER,122,2
Hartnell College,HARTNELL,123,2
Irvine Valley College,IRVINE,124,2
Porterville College,PORTER,125,2
Sacramento City College,SCC,126,2
Skyline College,SKYLINE,127,2
"University of California, Santa Barbara",UCSB,128,1
"California State University, Fullerton",CSUFULL,129,0
Los Angeles Southwest College,LASC,130,2
San Bernardino Valley College,SBVC,131,2
"University of California, Santa Cruz",UCSC,132,1
Monterey Peninsula College,MONTEREY,133,2
Fullerton College,FULLRTON,134,2
Long Beach City College,LBCC,135,2
San Jose City College,SJCC,136,2
Santa Monica College,SMCC,137,2
Southwestern College,SWSTRN,138,2
Moorpark College,MOORPARK,139,2
College of the Canyons,CANYONS,140,2
"California State University, Chico",CSUC,141,0
Cosumnes River College,CRC,142,2
"California State University, Channel Islands",CSUCI,143,0
"University of California, Merced",UCM,144,1
Folsom Lake College,FOLSOM,145,2
West Hills College Lemoore,WHCL,146,2
Woodland Community College,WCC,147,2
Norco College,NORCO,148,2
Moreno Valley College,MVC,149,2
Clovis Community College,CLOVIS,150,2
Compton College,COMPTON,153,2
Madera Community College,MCC,200,2
California Lutheran University,CLU,201,5
Charles R. Drew University of Medicine and Science,CDU,204,5
California Baptist University,CBU,205,5
Fresno Pacific University,FPU,206,5
Concordia University Irvine,CUI,207,5
Laguna College of Art + Design,LCAD,208,5
Loyola Marymount University,LMU,209,5
Los Angeles Pacific University,LAPU,210,5
Dominican University of California,DUC,211,5
Mount Saint Mary's University Los Angeles,MSMU,212,5
National University,NU,213,5
Pepperdine University,PEPRDN,214,5
Touro University Worldwide,TUW,215,5
Menlo College,MENLO,216,5
University of the Pacific,UOP,217,5
University of La Verne,ULV,218,5
Notre Dame de Namur University,NDNU,219,5
University of Redlands,UOFR,220,5
Palo Alto University,PAU,222,5
Whittier College,WC,224,5
Saint Mary's College of California,SMC,225,5
Santa Clara University,SCU,227,5
Simpson University,SU,228,5
